date,eui,gpr,cpu,oil_price,log_eui,log_gpr,log_cpu,log_oil_price,d_eui,dlog_eui,d_cpu,dlog_cpu,d_oil_price,dlog_oil_price,COVID_WINDOW_2020_03_11_2023_05_05,RU_UA_WAR_PULSE_2022_02_24,FUKUSHIMA_PULSE_2011_03_11,GFC_WINDOW_2007_12_01_2009_06_30,PARIS_COP21_PULSE_2015_12_12,SEP11_PULSE_2001_09_11
2010-01-01,0.590090026,91.58102416992188,110.484442,76.17,-0.5274801672818208,4.517224090502537,4.704874714664976,4.3329676843846965,-0.03665293599999997,-0.06026139591723867,1.884836000000007,0.017206935164355563,1.710000000000008,0.022705615940125767,0,0,0,0,0,0
2010-02-01,0.603852793,80.72535705566406,62.89395715,73.75,-0.5044248309505917,4.391052739745911,4.1414500883440875,4.300680995219929,0.013762767000000009,0.023055336331229137,-47.59048485,-0.5634246263208889,-2.4200000000000017,-0.03228668916476707,0,0,0,0,0,0
2010-03-01,0.633746539,74.116943359375,78.89089656,78.83,-0.45610618523564045,4.3056441614865975,4.368065841727425,4.367293635071817,0.029893745999999943,0.0483186457149512,15.996939410000003,0.22661575338333773,5.079999999999998,0.06661263985188715,0,0,0,0,0,0
2010-04-01,0.578349881,88.76158142089844,106.3566412,84.82,-0.5475762629985069,4.4859539147251715,4.666797986334994,4.4405313640464446,-0.05539665800000004,-0.09147007776286648,27.465744639999997,0.2987321446075688,5.989999999999995,0.07323772897462799,0,0,0,0,0,0
2010-05-01,0.72230104,88.95870971679688,160.3571125,75.95,-0.3253132740814328,4.488172326314318,5.0774032812515015,4.330075229041782,0.143951159,0.22226298891707413,54.0004713,0.41060529491650755,-8.86999999999999,-0.11045613500466267,0,0,0,0,0,0
2010-06-01,0.922544166,96.45369720458984,133.244876,74.76,-0.08062002779072992,4.569063071479571,4.892188608272807,4.314282982587362,0.20024312600000005,0.24469324629070288,-27.112236499999995,-0.18521467297869432,-1.1899999999999977,-0.01579224645441979,0,0,0,0,0,0
2010-07-01,0.886718841,79.38137817382812,101.4714332,75.58,-0.12022732437261442,4.374263808930436,4.619777312562979,4.325191697921343,-0.03582532500000002,-0.0396072965818845,-31.773442799999998,-0.27241129570982814,0.8199999999999932,0.010908715333981078,0,0,0,0,0,0
2010-08-01,0.749111502,80.99386596679688,117.5594535,77.04,-0.28886743872086745,4.394373422999891,4.766944192849881,4.34432476748987,-0.137607339,-0.16864011434825305,16.088020299999997,0.1471668802869015,1.460000000000008,0.019133069568527006,0,0,0,0,0,0
2010-09-01,0.606669076,71.16854858398438,130.1349564,77.84,-0.4997718161587204,4.265050987453997,4.868572038129114,4.354655437877749,-0.142442426,-0.21090437743785295,12.57550289999999,0.10162784527923385,0.7999999999999972,0.01033067038787916,0,0,0,0,0,0
2010-10-01,0.626849522,65.99193572998047,111.2400513,82.67,-0.46704876396326683,4.189532548651733,4.711690490530707,4.414856779264584,0.02018044600000002,0.03272305219545357,-18.89490509999999,-0.15688154759840778,4.829999999999998,0.06020134138683453,0,0,0,0,0,0
2010-11-01,0.462359347,94.70516967773438,136.9150292,85.28,-0.7714128828764727,4.550768588752043,4.9193605085916285,4.445939960417534,-0.16449017500000002,-0.30436411891320586,25.674977899999988,0.2076700180609219,2.6099999999999994,0.031083181152950168,0,0,0,0,0,0
2010-12-01,0.572710832,97.20389556884766,101.3182573,91.45,-0.5573743458446557,4.5768107885321,4.618266625025032,4.515792374836875,0.11035148499999997,0.21403853703181697,-35.59677189999999,-0.3010938835665966,6.170000000000002,0.06985241441934065,0,0,0,0,0,0
2011-01-01,0.658499714,79.42161560058594,127.3389565,96.52,-0.4177911921193209,4.374770567986579,4.846852479958162,4.569750240756831,0.08578888200000001,0.1395831537253348,26.020699199999996,0.22858585493313033,5.069999999999993,0.05395786591995666,0,0,0,0,0,0
2011-02-01,0.590598723,90.01448822021484,98.93989728,103.72,-0.5266184718825764,4.499970637598948,4.594512567594051,4.641694960670463,-0.06790099099999991,-0.10882727976325546,-28.399059219999998,-0.25233991236411146,7.200000000000003,0.07194471991363205,0,0,0,0,0,0
2011-03-01,0.713696595,136.8883056640625,158.3348152,114.64,-0.3372973439286441,4.919165306177198,5.06471187448063,4.741796783519916,0.123097872,0.1893211279539323,59.39491792000001,0.4701993068865793,10.920000000000002,0.10010182284945301,0,0,1,0,0,0
2011-04-01,0.846846237,91.01776885986328,156.5996617,123.26,-0.16623613918088748,4.511054749651969,5.053692623273399,4.814295945534097,0.1331496419999999,0.1710612047477566,-1.7351534999999956,-0.011019251207231129,8.620000000000005,0.07249916201418038,0,0,0,0,0,0
2011-05-01,0.909766537,105.34491729736328,91.33076941,114.99,-0.09456726513377994,4.657239893214125,4.514487745172645,4.744845168060573,0.06292030000000004,0.07166887404710753,-65.26889229000001,-0.5392048781007537,-8.27000000000001,-0.06945077747352357,0,0,0,0,0,0
2011-06-01,0.714642492,84.391845703125,59.11603107,113.83,-0.3359728725242202,4.4354707820425086,4.07950214092902,4.734706107337125,-0.19512404500000002,-0.24140560739044026,-32.214738340000004,-0.4349856042436251,-1.1599999999999966,-0.010139060723448168,0,0,0,0,0,0
2011-07-01,0.925261293,78.92475891113281,91.92938524,116.97,-0.0776791024404509,4.368494979781586,4.521020730591256,4.761917491662616,0.21061880100000008,0.2582937700837693,32.813354170000004,0.4415185896622358,3.1400000000000006,0.02721138432549086,0,0,0,0,0,0
2011-08-01,0.760886819,86.95156860351562,110.5044995,110.22,-0.27327065885678703,4.46535128093102,4.705056239585806,4.70247836845509,-0.16437447400000005,-0.19559155641633613,18.575114259999992,0.18403550899455023,-6.75,-0.0594391232075262,0,0,0,0,0,0
2011-09-01,0.839312432,83.35044860839844,146.1423927,112.83,-0.17517225565943711,4.423053991406655,4.984581438885398,4.725882261150355,0.07842561300000006,0.09809840319734991,35.63789319999999,0.2795251992995915,2.6099999999999994,0.023403892695265327,0,0,0,0,0,0
2011-10-01,0.703412669,76.33993530273438,119.1632996,109.55,-0.3518115480154564,4.335196199828309,4.780494817961874,4.696381066041475,-0.13589976300000006,-0.17663929235601927,-26.979093099999986,-0.20408662092352348,-3.280000000000001,-0.02950119510887994,0,0,0,0,0,0
2011-11-01,0.683220123,83.15767669677734,99.35573803,110.77,-0.380938182901726,4.420738524850356,4.598706723042158,4.7074559795288415,-0.020192545999999978,-0.029126634886269598,-19.807561570000004,-0.1817880949197166,1.2199999999999989,0.011074913487366445,0,0,0,0,0,0
2011-12-01,0.797416713,85.34132385253906,116.1878298,107.87,-0.226377884886581,4.446658790324547,4.755208103992965,4.680926798387338,0.11419659000000004,0.15456029801514498,16.832091770000005,0.15650138095080735,-2.8999999999999915,-0.0265291811415036,0,0,0,0,0,0
2012-01-01,0.723871651,79.63497161865234,80.74488538,110.69,-0.32314117993626557,4.377453338310793,4.3912946211494015,4.706733501397532,-0.0735450620000001,-0.09676329504968456,-35.44294442,-0.3639134828435635,2.819999999999993,0.025806703010194276,0,0,0,0,0,0
2012-02-01,0.705638092,92.4458236694336,112.6796531,119.33,-0.3486527904859362,4.526622782874779,4.724548864373685,4.781892764381564,-0.0182335589999999,-0.02551161054967066,31.934767719999996,0.33325424322428354,8.64,0.07515926298403208,0,0,0,0,0,0
2012-03-01,0.748472803,88.75997924804688,63.93076739,125.45,-0.28972041111993974,4.485935864265885,4.157800738304278,4.8319072728124315,0.042834710999999914,0.05893237936599649,-48.748885709999996,-0.5667481260694069,6.1200000000000045,0.05001450843086719,0,0,0,0,0,0
2012-04-01,1.021142059,96.01668548583984,73.02971107,119.75,0.02092166662432724,4.564521983509289,4.2908663593048715,4.785406236291025,0.272669256,0.310642077744267,9.098943680000005,0.13306562100059338,-5.700000000000003,-0.04650103652140647,0,0,0,0,0,0
2012-05-01,0.676375338,78.17115783691406,117.7498969,110.34,-0.3910071232965756,4.35890075390346,4.76856285731228,4.703566507844284,-0.34476672099999994,-0.41192878992090287,44.72018582999999,0.47769649800740854,-9.409999999999997,-0.0818397284467407,0,0,0,0,0,0
2012-06-01,1.336301578,77.82243347167969,111.2162288,95.16,0.2899057816767395,4.354429737585096,4.711476313613963,4.555559685434757,0.65992624,0.6809129049733151,-6.5336681,-0.05708654369831745,-15.180000000000007,-0.14800682240952767,0,0,0,0,0,0
2012-07-01,1.657360686,82.80802154541016,108.9114695,102.62,0.5052263888666914,4.416524935266544,4.690535345788782,4.631032845513819,0.32105910800000004,0.21532060718995183,-2.3047593000000006,-0.0209409678251804,7.460000000000008,0.07547316007906257,0,0,0,0,0,0
2012-08-01,1.550365583,74.87835693359375,119.2321322,113.36,0.43849076312055835,4.315864889268253,4.781072283741257,4.730568595382425,-0.10699510300000004,-0.06673562574613301,10.3206627,0.09053693795247497,10.739999999999995,0.0995357498686058,0,0,0,0,0,0
2012-09-01,1.099003693,69.28050994873047,91.57525933,112.86,0.09440403574340894,4.238163624918927,4.5171611405473,4.726148112540994,-0.45136189000000004,-0.3440867273771494,-27.65687287,-0.26391114319395736,-0.5,-0.004420482841431372,0,0,0,0,0,0
2012-10-01,1.099162648,81.66366577148438,83.92417188,111.71,0.09454866083143101,4.402609175546186,4.429913675435825,4.715906227582757,0.00015895500000007168,0.0001446250880220712,-7.6510874499999915,-0.08724746511147519,-1.1500000000000057,-0.01024188495823708,0,0,0,0,0,0
2012-11-01,1.446981171,81.38964080810547,146.0921831,109.06,0.36947943512515424,4.399248002110211,4.984237813560732,4.691898189497915,0.34781852299999994,0.27493077429372326,62.16801122,0.5543241381249073,-2.6499999999999915,-0.02400803808484131,0,0,0,0,0,0
2012-12-01,1.185201733,74.83155822753906,92.05358948,109.49,0.16991299891667658,4.315239697442733,4.522370901812885,4.6958332208853335,-0.26177943800000003,-0.19956643620847767,-54.03859362,-0.46186691174784666,0.4299999999999926,0.003935031387418242,0,0,0,0,0,0
2013-01-01,1.104404314,90.6574935913086,103.7850054,112.96,0.0993061072596413,4.507088598884218,4.642321503649523,4.727033773744932,-0.08079741900000004,-0.07060689165703528,11.731415920000003,0.11995060183663764,3.469999999999999,0.03120055285959822,0,0,0,0,0,0
2013-02-01,1.509625761,81.59033203125,66.40136197,116.05,0.4118617797119752,4.401710774941559,4.195717567868414,4.754021132720446,0.40522144699999996,0.3125556724523339,-37.383643430000006,-0.44660393578110913,3.0900000000000034,0.026987358975514297,0,0,0,0,0,0
2013-03-01,1.04328512,75.89672088623047,58.07249263,108.47,0.042374503953577496,4.329373480388337,4.061692103036515,4.686473637052126,-0.46634064099999994,-0.3694872757583977,-8.328869339999997,-0.1340254648318986,-7.579999999999998,-0.06754749566831997,0,0,0,0,0,0
2013-04-01,1.570335018,95.10787200927734,93.14080833,102.25,0.45128898385753985,4.5550117422483805,4.534112416172359,4.627420794922911,0.527049898,0.40891447990396235,35.0683157,0.472420313135844,-6.219999999999999,-0.05905284212921469,0,0,0,0,0,0
